TIME,RPM,CLT
22.52,3053,36
22.56,3052,36
22.6,3042,36
22.64,3033,37
22.68,3001,36
22.72,2966,36
22.76,2998,37
22.8,3037,37
22.84,3024,37
22.88,2995,37
22.92,2962,37
22.96,2972,37
23,3011,37
23.04,3014,37
23.08,3009,37
23.12,3015,37
23.16,2994,37
23.2,2936,37
23.24,2918,37
23.28,2936,37
23.32,2945,37
23.36,2952,37
23.4,2993,37
23.44,2976,37
23.48,2916,37
23.52,2890,37
23.56,2916,37
23.6,2942,37
23.64,2995,37
23.68,2973,37
23.72,2996,37
23.76,3013,37
23.8,3006,37
23.84,3001,37
23.88,3002,37
23.92,2951,37
23.96,2959,37
24,2965,37
24.04,3005,37
24.08,3041,37
24.12,3003,37
24.16,3032,37
24.2,3029,37
24.24,3006,37
24.28,3017,37
24.32,3030,37
24.36,3022,37
24.4,2992,37
24.44,3016,37
24.48,3063,37
24.52,3087,37
24.56,3068,37
24.6,3066,37
24.64,3024,37
24.68,3035,37
24.72,3033,37
24.76,3031,37
24.8,3031,37
24.84,2991,37
24.88,2953,37
24.92,2974,37
24.96,2981,37
25,2989,37
25.04,3003,37
25.08,2987,37
25.12,2944,37
25.16,2968,37
25.2,2931,37
25.24,2909,37
25.28,2923,37
25.32,2946,38
25.36,2985,38
25.4,3005,38
25.44,3000,38
25.48,2969,38
25.52,2970,38
25.56,2950,38
25.6,2933,37
25.64,2963,38
25.68,2985,37
25.72,3016,37
25.76,3024,37
25.8,3036,38
25.84,3039,38
25.88,3043,38
25.92,3011,38
25.96,3022,38
26,3033,38
26.04,3037,38
26.08,3045,38
26.12,3062,38
26.16,3043,38
26.2,2955,38
26.24,2904,38
26.28,2890,38
26.32,2933,38
26.36,2964,38
26.4,3000,38
26.44,2974,38
26.48,2991,38
26.52,3001,38
26.56,3020,38
26.6,3039,38
26.64,3012,38
26.68,2966,38
26.72,2917,38
26.76,2909,38
26.8,2954,38
26.84,2993,38
26.88,3032,38
26.92,3068,38
26.96,3071,38
27,3088,38
27.04,3085,38
27.08,3083,38
27.12,3070,38
27.16,3035,38
27.2,3024,38
27.24,2993,38
27.28,2978,38
27.32,3005,38
27.36,3021,38
27.4,3011,38
27.44,3001,38
27.48,3036,38
27.52,3054,38
27.56,3041,38
27.6,3008,38
27.64,2983,38
27.68,3017,38
27.72,3011,38
27.76,3001,38
27.8,3000,38
27.84,2972,38
27.88,2951,38
27.92,2989,38
27.96,3015,38
28,3023,38
28.04,3035,38
28.08,3056,38
28.12,3003,38
28.16,3020,38
28.2,3048,38
28.24,3040,38
28.28,3007,38
28.32,2961,38
28.36,2957,38
28.4,2948,38
28.44,2984,38
28.48,2998,38
28.52,3012,38
28.56,3024,38
28.6,3032,38
28.64,3013,38
28.68,2985,38
28.72,3020,38
28.76,3026,38
28.8,3011,38
28.84,3038,38
28.88,3000,38
28.92,2980,38
28.96,2990,38
29,2946,38
29.04,2975,38
29.08,2945,38
29.12,2923,38
29.16,2964,38
29.2,2957,38
29.24,2967,38
29.28,2955,38
29.32,2962,38
29.36,2967,38
29.4,2960,38
29.44,2989,38
29.48,2963,38
29.52,2976,38
29.56,2964,38
29.6,2958,38
29.64,2942,38
29.68,2929,38
29.72,2928,38
29.76,2965,38
29.8,3006,38
29.84,3014,39
29.88,2982,39
29.92,2965,38
29.96,2952,38
30,2912,38
30.04,2944,38
30.08,2991,38
30.12,3010,38
30.16,2967,38
30.2,2921,38
30.24,2966,38
30.28,2922,38
30.32,2943,38
30.36,2991,38
30.4,3029,38
30.44,3023,38
30.48,3015,38
30.52,3029,38
30.56,3016,38
30.6,3020,38
30.64,3004,38
30.68,3004,38
30.72,3017,38
30.76,3010,38
30.8,2953,38
30.84,2944,38
30.88,2953,38
30.92,2971,38
30.96,3007,38
31,2988,38
31.04,2951,38
31.08,2972,39
31.12,2975,38
31.16,2986,38
31.2,2999,39
31.24,3003,39
31.28,3062,38
31.32,3088,38
31.36,3099,39
31.4,3089,39
31.44,3080,38
31.48,3034,39
31.52,2976,39
31.56,2986,39
31.6,3008,39
31.64,3044,39
31.68,3055,39
31.72,3050,39
31.76,3072,39
31.8,3087,39
31.84,3073,39
31.88,2981,39
31.92,3001,39
31.96,2973,39
32,2969,39
32.04,2994,39
32.08,2998,39
32.12,3008,39
32.16,2987,39
32.2,2977,39
32.24,2997,39
32.28,3019,39
32.32,2989,39
32.36,2963,39
32.4,2930,39
32.44,2941,39
32.48,2960,39
32.52,2975,39
32.56,2972,39
32.6,3000,39
32.64,3008,39
32.68,2977,39
32.72,2947,39
32.76,2967,39
32.8,2970,39
32.84,2970,39
32.88,2996,39
32.92,3029,39
32.96,3043,39
33,3036,39
33.04,3046,39
33.08,3019,39
33.12,3043,39
33.16,3034,39
33.2,2990,39
33.24,2967,39
33.28,2960,39
33.32,2960,39
33.36,2994,39
33.4,2995,39
33.44,3007,39
33.48,3015,39
33.52,3021,39
33.56,3057,39
33.6,3024,39
33.64,2993,39
33.68,2989,39
33.72,2997,39
33.76,3000,39
33.8,3011,39
33.84,3034,39
33.88,3046,39
33.92,3056,39
33.96,3074,39
34,3052,39
34.04,3059,39
34.08,3003,39
34.12,2990,39
34.16,3015,39
34.2,2997,39
34.24,3004,39
34.28,2961,39
34.32,2941,39
34.36,2927,39
34.4,2951,39
34.44,2974,39
34.48,2962,39
34.52,2953,39
34.56,2973,39
34.6,3006,39
34.64,3032,39
34.68,2972,39
34.72,2960,39
34.76,2953,39
34.8,2900,39
34.84,2895,39
34.88,2944,39
34.92,2967,39
34.96,3001,40
35,2986,40
35.04,2999,40
35.08,3002,40
35.12,2954,40
35.16,2945,40
35.2,2961,39
35.24,2961,39
35.28,2968,40
35.32,2995,39
35.36,2983,39
35.4,2982,39
35.44,3005,39
35.48,3017,39
35.52,3002,39
35.56,2997,40
35.6,2997,40
35.64,2970,39
35.68,2931,40
35.72,2951,40
35.76,2907,40
35.8,2922,39
35.84,2937,40
35.88,2954,40
35.92,2992,40
35.96,3029,40
36,3037,40
36.04,3057,40
36.08,3062,40
36.12,3062,40
36.16,3041,40
36.2,3021,40
36.24,3037,40
36.28,3033,40
36.32,3032,40
36.36,3062,40
36.4,3079,40
36.44,3092,40
36.48,3072,40
36.52,3078,40
36.56,3091,40
36.6,3038,40
36.64,3008,40
36.68,2986,40
36.72,2947,40
36.76,2973,40
36.8,2971,40
36.84,3000,40
36.88,2972,40
36.92,2984,40
36.96,2958,40
37,2981,40
37.04,2993,40
37.08,3019,40
37.12,3049,40
